epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.91,3.11867,6.4257,3.80357,0.23485,0.2484,0.14976,0.0461,2.38607,5.75668,3.27158,0.00332773,0.00332773,0.00332773
2,484.877,2.32201,2.46427,2.68812,0.59342,0.55326,0.57661,0.23517,1.97635,8.32625,2.67299,0.00663908,0.00663908,0.00663908
3,705.809,2.06071,1.93824,2.38433,0.63995,0.62023,0.63551,0.2579,1.87261,7.55923,2.53304,0.00992843,0.00992843,0.00992843
4,937.431,1.97606,1.74423,2.28906,0.80816,0.76672,0.8336,0.39069,1.75163,2.10729,2.30846,0.009901,0.009901,0.009901
5,1169.14,1.90316,1.54294,2.21627,0.86166,0.78121,0.88574,0.41259,1.79492,1.93675,2.3991,0.009868,0.009868,0.009868
6,1404.47,1.87021,1.42488,2.1669,0.86081,0.84491,0.91437,0.4475,1.6547,3.50817,2.22857,0.009835,0.009835,0.009835
7,1632.98,1.85058,1.36394,2.15312,0.8191,0.81125,0.87367,0.42347,1.70184,2.55591,2.27136,0.009802,0.009802,0.009802
8,1853,1.833,1.316,2.13647,0.92271,0.88879,0.95089,0.478,1.66457,1.33915,2.23836,0.009769,0.009769,0.009769
9,2073.17,1.81004,1.27193,2.11464,0.93513,0.89348,0.95762,0.48338,1.6682,1.57313,2.21595,0.009736,0.009736,0.009736
10,2292.12,1.79737,1.24567,2.10869,0.92256,0.8824,0.95755,0.49769,1.60578,1.25809,2.17043,0.009703,0.009703,0.009703
11,2510.21,1.78607,1.22107,2.09017,0.91617,0.87312,0.95153,0.48981,1.61602,1.64983,2.21294,0.00967,0.00967,0.00967
12,2734.73,1.77861,1.19862,2.08808,0.94192,0.90967,0.9692,0.50261,1.59873,2.16151,2.17342,0.009637,0.009637,0.009637
13,2954.29,1.76762,1.17151,2.07143,0.94769,0.9186,0.97415,0.5147,1.60482,1.1906,2.17495,0.009604,0.009604,0.009604
14,3192.18,1.75568,1.14648,2.06232,0.95222,0.92267,0.97724,0.5227,1.58182,1.26132,2.15067,0.009571,0.009571,0.009571
15,3419.8,1.74303,1.13008,2.05734,0.95216,0.91436,0.97623,0.52357,1.58808,0.93026,2.16241,0.009538,0.009538,0.009538
16,3646.99,1.73522,1.12969,2.04774,0.95145,0.93108,0.97824,0.52788,1.58193,0.93944,2.1466,0.009505,0.009505,0.009505
17,3861.19,1.73363,1.09976,2.04883,0.95583,0.93126,0.98006,0.53177,1.57531,0.94454,2.15409,0.009472,0.009472,0.009472
