epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.039,6.25901,20.5137,4.21519,0,0,0,0,6.50633,12.5704,4.15781,0.00036,0.00036,0.00036
2,212.663,5.40698,12.0952,3.6639,0,0,0,0,6.55092,13.2078,4.281,0.000737558,0.000737558,0.000737558
3,250.975,3.97475,7.46303,2.58701,0,0,0,0,6.63247,14.9708,4.61102,0.00111261,0.00111261,0.00111261
4,313.497,3.54999,5.67942,2.17905,0,0,0,0,4.32895,6.38299,2.63523,0.00148515,0.00148515,0.00148515
5,348.855,3.32557,4.84719,1.93067,0,0,0,0,6.14632,8.27903,3.60028,0.00185518,0.00185518,0.00185518
6,395.582,3.19846,4.29773,1.76457,0,0,0,0,4.01215,4.18618,3.14446,0.001967,0.001967,0.001967
7,422.741,2.97244,3.70974,1.64939,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
8,471.799,2.90647,3.35259,1.5798,0.00019,0.00474,0.0001,2e-05,nan,nan,nan,0.0019538,0.0019538,0.0019538
9,505.347,2.85165,3.11025,1.5684,0.04695,0.01661,0.00378,0.00099,nan,nan,nan,0.0019472,0.0019472,0.0019472
10,556.7,2.75824,2.98018,1.52761,0.22214,0.19692,0.10838,0.0306,2.66797,2.78919,1.52078,0.0019406,0.0019406,0.0019406
11,587.73,2.72237,2.82444,1.5028,0.38405,0.23013,0.20327,0.05854,2.62928,2.71408,1.36046,0.001934,0.001934,0.001934
12,614.716,2.6473,2.65892,1.4831,0.18152,0.17319,0.09208,0.02526,2.74552,2.81344,1.40222,0.0019274,0.0019274,0.0019274
13,664.822,2.62715,2.55667,1.44909,0.33014,0.28707,0.23369,0.07145,2.51248,2.28847,1.40025,0.0019208,0.0019208,0.0019208
14,703.166,2.57216,2.54068,1.41916,0.29483,0.29014,0.2005,0.05702,2.54891,2.50477,1.41167,0.0019142,0.0019142,0.0019142
15,750.167,2.61559,2.52453,1.43466,0.35962,0.32503,0.24459,0.06605,2.45373,2.38796,1.36841,0.0019076,0.0019076,0.0019076
16,789.851,2.61055,2.43315,1.44714,0.22857,0.20522,0.1361,0.03624,2.68768,2.74102,1.48695,0.001901,0.001901,0.001901
17,835.23,2.52018,2.33525,1.41831,0.30884,0.30368,0.22295,0.06582,2.48198,2.26099,1.41842,0.0018944,0.0018944,0.0018944
18,872.472,2.5209,2.32733,1.41743,0.3766,0.28944,0.25531,0.0756,2.40835,2.42762,1.35394,0.0018878,0.0018878,0.0018878
19,917.788,2.46169,2.22183,1.37708,0.40999,0.39265,0.33176,0.09227,2.39078,2.20121,1.36067,0.0018812,0.0018812,0.0018812
20,955.761,2.45703,2.22085,1.39452,0.49466,0.41756,0.3848,0.1114,2.35085,2.00905,1.3542,0.0018746,0.0018746,0.0018746
21,997.104,2.44974,2.15075,1.39739,0.50394,0.43772,0.40702,0.12865,2.30989,1.89805,1.35847,0.001868,0.001868,0.001868
22,1035.87,2.42049,2.15272,1.37201,0.50319,0.46263,0.41223,0.13516,2.25815,1.89597,1.3606,0.0018614,0.0018614,0.0018614
