epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.756,2.96148,9.17825,4.09298,0.09847,0.13551,0.04385,0.01257,2.47442,8.5819,3.05118,0.00332772,0.00332772,0.00332772
2,1057.89,2.36719,3.16472,2.74071,0.58535,0.49634,0.53922,0.22075,1.91643,3.80985,2.35642,0.00663907,0.00663907,0.00663907
3,1610.94,2.04193,2.24175,2.35998,0.67809,0.72819,0.70916,0.29556,1.75008,4.80453,2.25199,0.00992843,0.00992843,0.00992843
4,2147.01,1.95974,1.92856,2.22623,0.86946,0.80593,0.88422,0.41168,1.73428,3.90251,2.08092,0.009901,0.009901,0.009901
5,2697.41,1.89459,1.67881,2.13866,0.89269,0.82136,0.91302,0.45579,1.62365,3.93568,1.99506,0.009868,0.009868,0.009868
6,3250.17,1.8611,1.5561,2.07831,0.91101,0.85058,0.93507,0.462,1.67299,1.72855,1.99522,0.009835,0.009835,0.009835
7,3792.69,1.83006,1.46973,2.04409,0.92201,0.86963,0.94712,0.47361,1.64498,1.46681,1.95997,0.009802,0.009802,0.009802
8,4307.37,1.81808,1.39315,2.01075,0.92189,0.88645,0.95412,0.48138,1.62673,1.35152,1.93273,0.009769,0.009769,0.009769
9,4823.47,1.80179,1.3527,1.98978,0.92761,0.90485,0.96097,0.49438,1.63666,1.38911,1.93516,0.009736,0.009736,0.009736
10,5347.5,1.78243,1.30814,1.97215,0.94419,0.91026,0.97157,0.5029,1.60522,1.33457,1.91213,0.009703,0.009703,0.009703
11,5902.79,1.77352,1.29792,1.94528,0.93517,0.91309,0.96962,0.50412,1.58253,1.38039,1.87989,0.00967,0.00967,0.00967
12,6465.94,1.76139,1.26481,1.94158,0.94803,0.92384,0.97559,0.5141,1.58559,1.01241,1.88239,0.009637,0.009637,0.009637
